situation,thought,action,polarity
I was asking my grandmother for her recipe for apple pie . ,she will not want to share it with me .,I asked her politely .,0
I was asking my grandmother for her recipe for apple pie . ,I may never get it .,I asked her gently .,0
I was asking my grandmother for her recipe for apple pie . ,I may never get it .,I jotted it down as she was speaking.,0
I was asking my grandmother for her recipe for apple pie . ,I may never get it .,I asked her to write it down for me.,0
I asked my grandmother if she wanted to go on a trip with us to Paris . ,she will say no .,I was very surprised when she said yes.,0
I asked my grandmother if she wanted to go on a trip with us to Paris . ,she will say no .,I wascoached by my aunt on what to say .,0
I asked my grandmother if she wanted to go on a trip with us to Paris . ,she may not be able to go because of her health .,I didn't mention it again .,0
I asked my grandmother if she wanted to go on a trip with us to Paris . ,she may not be able to go because of her health .,I offered to pay for her plane ticket and accommodation .,0
I asked my grandmother if she wanted to go on a trip with us to Paris . ,she may not be able to go because of her health .,I was gentle in my explanation .,0
I asked my date's grandmother for her blessing . ,she will think I am not good enough .,I brought my date's granddad with me .,0
I asked my date's grandmother for her blessing . ,she will think I am not good enough .,I try to exude confidence.,0
I asked my date's grandmother for her blessing . ,she will think I am not good enough .,I nervously explained my good qualities .,0
I asked my date's grandmother for her blessing . ,she will say no .,I practiced what I would say next .,0
I asked my date's grandmother for her blessing . ,she will say no .,I am preparing what to say next .,0
I asked my date's grandmother for her blessing . ,she will say no .,I prepared some talking points to persuade her .,0
I asked my date's grandmother for her blessing . ,she will disapprove .,I chose my words carefully .,0
I asked my date's grandmother for her blessing . ,she will disapprove .,I hold my breath in anticipation .,0
I asked my date's grandmother for her blessing . ,she will disapprove .,I brought a small gift .,0
I asked my date's grandmother for her blessing . ,she won't give it to me .,I brought her a box of her favorite cookies .,0
I asked my date's grandmother for her blessing . ,she won't give it to me .,I rehearsed what I would say .,0
I asked my date's grandmother for her blessing . ,she won't give it to me .,I brought her a present .,0
I asked my friend's husband if he wanted to play tennis . ,he will say no .,I said that I would ask someone else .,0
I asked my friend's husband if he wanted to play tennis . ,he will say no .,I was surprised when he said yes.,0
I asked my friend's husband if he wanted to play tennis . ,he will say no .,I didn't ask him .,0
I asked my friend's husband if he wanted to play tennis . ,he doesn't want to play with me .,I asked another friend .,0
I asked my friend's husband if he wanted to play tennis . ,he doesn't want to play with me .,I asked if he wanted to play next weekend instead .,0
I asked my friend's husband if he wanted to play tennis . ,he doesn't want to play with me .,I didn't ask again.,0
I was at my friend's house for dinner and her husband asked me to pass the salt . ,I will spill something on their expensive rug .,I keep my hands to myself.,0
I was at my friend's house for dinner and her husband asked me to pass the salt . ,I will spill something on their expensive rug .,I try to be extra careful .,0
I was at my friend's house for dinner and her husband asked me to pass the salt . ,I will spill something on their expensive rug .,I hold my hand over the spot where I'm going to place the salt shaker .,0
I was at my friend's house for dinner and her husband asked me to pass the salt . ,The food does not taste good .,I add salt to it.,0
I was at my friend's house for dinner and her husband asked me to pass the salt . ,The food does not taste good .,I told him that I was not feeling well and left early.,0
I was at my friend's house for dinner and her husband asked me to pass the salt . ,I will be rude if I don't .,I passed it to him .,0
I asked my husband if he wanted to go on a trip with me to visit our families . ,he will say no .,I was surprised when he said yes.,0
I asked my husband if he wanted to go on a trip with me to visit our families . ,he will say no .,I Tentatively proposed the idea .,0
I asked my husband if he wanted to go on a trip with me to visit our families . ,he may not want to go .,I asked him hesitantly .,0
I asked my husband if he wanted to go on a trip with me to visit our families . ,he may not want to go .,I gave him some space to think about it .,0
I asked my husband if he wanted to go on a trip with me to visit our families . ,he may not want to go .,I begged him to come with me.,0
I asked my husband if he wanted to go on a trip with me to visit our families . ,he would rather stay home .,I was surprised when he said yes.,0
I asked my husband if he wanted to go on a trip with me to visit our families . ,he would rather stay home .,I canceled the trip .,0
I asked my husband if he wanted to go on a trip with me to visit our families . ,he would rather stay home .,I didn't ask him again .,0
I asked my little brother to borrow his video game . ,he will  refuse .,I offered to buy him some ice cream .,0
I asked my little brother to borrow his video game . ,he will  refuse .,I asked nicely .,0
I asked my little brother to borrow his video game . ,he will  refuse .,I gave him my dessert as a trade .,0
I asked my little brother if he wanted to go to the movies with me . ,he will say no .,I was surprised when he said yes.,0
I asked my little brother if he wanted to go to the movies with me . ,he will say no .,I was prepared for his answer .,0
I asked my little brother if he wanted to go to the movies with me . ,he will say no .,I asked him gingerly .,0
I asked my little brother if he wanted to go to the movies with me . ,he will refuse .,I was surprised when he said yes.,0
I asked my little brother if he wanted to go to the movies with me . ,he will refuse .,I try to act casual about it.,0
